lang_a,lang_b,family_id,ling_divergence,geo_distance_km,lat_a,lon_a,lat_b,lon_b,corridor_ruggedness,log_geo_dist
AINU_HIRATORI,AINU_RAICHISHKA,ainu1252,0.34076028138528136,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_SAMANI,ainu1252,0.11526785714285714,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_SARU,ainu1252,0.23456558061821217,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_SHIRAURA,ainu1252,0.32485119047619043,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_SOYA,ainu1252,0.15997135217723452,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_TARANTOMARI,ainu1252,0.2727281746031746,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_YAKUMO,ainu1252,0.048928571428571425,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,HOKKAIDO_AINU,ainu1252,0.21309523809523806,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,KURIL_AINU,ainu1252,0.43041474654377887,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,SAKHALIN_AINU,ainu1252,0.3731203007518797,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_KUSHIRO,ainu1252,0.11845238095238095,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_MAOKA,ainu1252,0.3182440476190476,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_NAIRO,ainu1252,0.3071230158730159,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_NAYORO,ainu1252,0.10654761904761903,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_NIIKAPPU,ainu1252,0.05249999999999999,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_NUKKIBETSU,ainu1252,0.05797619047619047,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_OBIHIRO,ainu1252,0.08014880952380952,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_OCHIHO,ainu1252,0.34764880952380955,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
